,Comédie,Fantasy,Poésie,accuracy,macro avg,weighted avg
SVM,"{'precision': 0.8461538461538461, 'recall': 0.6470588235294118, 'f1-score': 0.7333333333333333, 'support': 34.0}","{'precision': 0.8382352941176471, 'recall': 0.95, 'f1-score': 0.890625, 'support': 60.0}","{'precision': 0.7272727272727273, 'recall': 0.7272727272727273, 'f1-score': 0.7272727272727273, 'support': 44.0}",0.8043478260869565,"{'precision': 0.8038872891814068, 'recall': 0.774777183600713, 'f1-score': 0.783743686868687, 'support': 138.0}","{'precision': 0.8048068725818087, 'recall': 0.8043478260869565, 'f1-score': 0.7997886473429952, 'support': 138.0}"
Naive Bayes,"{'precision': 0.875, 'recall': 0.4117647058823529, 'f1-score': 0.56, 'support': 34.0}","{'precision': 0.6404494382022472, 'recall': 0.95, 'f1-score': 0.7651006711409396, 'support': 60.0}","{'precision': 0.7575757575757576, 'recall': 0.5681818181818182, 'f1-score': 0.6493506493506493, 'support': 44.0}",0.6956521739130435,"{'precision': 0.757675065259335, 'recall': 0.6433155080213905, 'f1-score': 0.658150440163863, 'support': 138.0}","{'precision': 0.7355818813439723, 'recall': 0.6956521739130435, 'f1-score': 0.6776628176803258, 'support': 138.0}"
Random Forest,"{'precision': 0.7647058823529411, 'recall': 0.38235294117647056, 'f1-score': 0.5098039215686274, 'support': 34.0}","{'precision': 0.717948717948718, 'recall': 0.9333333333333333, 'f1-score': 0.8115942028985508, 'support': 60.0}","{'precision': 0.5581395348837209, 'recall': 0.5454545454545454, 'f1-score': 0.5517241379310345, 'support': 44.0}",0.6739130434782609,"{'precision': 0.68026471172846, 'recall': 0.6203802733214497, 'f1-score': 0.6243740874660709, 'support': 138.0}","{'precision': 0.6785149464623681, 'recall': 0.6739130434782609, 'f1-score': 0.6543829534508109, 'support': 138.0}"
