Genre,URL
Fantasy,https://www.goodreads.com/book/show/40874032-vicious
Fantasy,https://www.goodreads.com/book/show/58132544-a-river-enchanted
Fantasy,https://www.goodreads.com/book/show/73071451-throne-of-the-fallen
Fantasy,https://www.goodreads.com/book/show/195775182-a-dawn-of-onyx
Fantasy,https://www.goodreads.com/book/show/59339681-what-lies-beyond-the-veil
Fantasy,https://www.goodreads.com/book/show/75396525-the-coven
Fantasy,https://www.goodreads.com/book/show/56552953-beasts-of-prey
Fantasy,https://www.goodreads.com/book/show/48727813-she-who-became-the-sun
Fantasy,https://www.goodreads.com/book/show/195391688-the-bone-season
Fantasy,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
Fantasy,https://www.goodreads.com/book/show/58613224-harry-potter-and-the-deathly-hallows
Fantasy,https://www.goodreads.com/book/show/36307634-king-of-scars
Fantasy,https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince
Fantasy,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Fantasy,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire
Fantasy,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix
Fantasy,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses
Fantasy,https://www.goodreads.com/book/show/27883214-caraval
Fantasy,https://www.goodreads.com/book/show/256683.City_of_Bones
Fantasy,https://www.goodreads.com/book/show/55987278-once-upon-a-broken-heart
Fantasy,https://www.goodreads.com/book/show/60784546-divine-rivals
Fantasy,https://www.goodreads.com/book/show/61431922-fourth-wing
Fantasy,https://www.goodreads.com/book/show/40024139-serpent-dove
Fantasy,https://www.goodreads.com/book/show/18798983-the-wrath-and-the-dawn
Fantasy,https://www.goodreads.com/book/show/22328546-red-queen
Fantasy,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Fantasy,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
