Genre,URL
Fantasy,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Fantasy,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora
Fantasy,https://www.goodreads.com/book/show/68428.Mistborn
Fantasy,https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen
Fantasy,https://www.goodreads.com/book/show/41952489-the-rage-of-dragons
Fantasy,https://www.goodreads.com/book/show/34392663-a-time-of-dread
Fantasy,https://www.goodreads.com/book/show/18952341-the-grace-of-kings
Fantasy,https://www.goodreads.com/book/show/30165203-american-gods
Fantasy,https://www.goodreads.com/book/show/944073.The_Blade_Itself
Fantasy,https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
Fantasy,https://www.goodreads.com/book/show/68494.Perdido_Street_Station
Fantasy,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension
Fantasy,https://www.goodreads.com/book/show/54659771-neon-gods
Fantasy,https://www.goodreads.com/book/show/54801674-savage-lands
Fantasy,https://www.goodreads.com/book/show/61431922-fourth-wing
Fantasy,https://www.goodreads.com/book/show/45868801-maya-and-the-rising-dark
Fantasy,https://www.goodreads.com/book/show/53240817-amari-and-the-night-brothers
Fantasy,https://www.goodreads.com/book/show/17163514-the-rose-and-the-thorn
Fantasy,https://www.goodreads.com/book/show/60177373-fairy-tale
Fantasy,https://www.goodreads.com/book/show/40701780-the-wisdom-of-crowds
Fantasy,https://www.goodreads.com/book/show/60596112-keeper-of-enchanted-rooms
Fantasy,https://www.goodreads.com/book/show/29758013-the-ninth-rain
Fantasy,https://www.goodreads.com/book/show/35606041-a-little-hatred
Fantasy,https://www.goodreads.com/book/show/41716919-jade-war
Fantasy,https://www.goodreads.com/book/show/43587154-jade-city
Fantasy,https://www.goodreads.com/book/show/45110.Shaman_s_Crossing
Fantasy,https://www.goodreads.com/book/show/35068705-the-poppy-war
Fantasy,https://www.goodreads.com/book/show/37173847-foundryside
Fantasy,https://www.goodreads.com/book/show/37834723-shadow-and-bone
Fantasy,https://www.goodreads.com/book/show/26863057-age-of-myth
Fantasy,https://www.goodreads.com/book/show/3983037-how-to-see-fairies
Fantasy,https://www.goodreads.com/book/show/15750692-malice
Fantasy,https://www.goodreads.com/book/show/11774272-the-killing-moon
Fantasy,https://www.goodreads.com/book/show/944076.Last_Argument_of_Kings
Fantasy,https://www.goodreads.com/book/show/9317452-rivers-of-london
Fantasy,https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
Fantasy,https://www.goodreads.com/book/show/16244663-the-willful-princess-and-the-piebald-prince
Fantasy,https://www.goodreads.com/book/show/2315892.Best_Served_Cold
Fantasy,https://www.goodreads.com/book/show/902715.Before_They_Are_Hanged
Fantasy,https://www.goodreads.com/book/show/15721980-the-lands-of-ice-and-fire
Fantasy,https://www.goodreads.com/book/show/176827.Brightly_Burning
